# B6 BE-003 20260909T173701Z  key=EXP-B6-SKILL-BE003 pairs=10 start=1
# carrier agent 51ffaedf9a3edbfe5fd85009f70f84c5 ON BOTH ARMS · skill file 7bea904863fb79a544ee2068cb2f0f43 on TREATED ONLY
# treated runs must read back skillsHash sha256:61445ead85042e340435613314920ef8 (the skills SUBTREE hash, not the file's)
# carrier = phases-v1.0's agent + Skill in tools:, one line; phases-v1.0 itself untouched
# BE-003 tree eeb15a753adc94e92bc3f74c50e1b02fc3b53030 at benchmarks eea144ef940fda4cb6090561fdd901aed0013c8e
# claude 2.1.266 at launch, asserted constant per run · model claude-haiku-4-5-20251001
# prediction commit 133de65 at 2026-09-09T17:00:47+02:00
# common:      RUNTIME=claude BENCHMARK=BE-003 EXPERIMENT=EXP-B6-SKILL-BE003 MODEL=claude-haiku-4-5-20251001 ISOLATE_USER_SETTINGS=1 KEEP=1 ENABLE_SKILLS=1 AGENT=backend-feature-phases API_PORT=18081 OTLP_HTTP_PORT=14318 OTLP_GRPC_PORT=14317 TEMPO_PORT=13200 INIT_SCHEMA_DIR=/Users/jirihermann/Documents/workspace-1-ideas/ai-agents/ai-learning/agent-learning-lab/evidence/b06/batch-BE-003-20260909T173701Z/init-schema
# treated adds:CUSTOMIZATION=/Users/jirihermann/Documents/workspace-1-ideas/ai-agents/ai-learning/agent-learning-lab/build/customizations/phases-v1.0-skillcarrier VARIANT=skill-v1.1-carrier
# control adds:CUSTOMIZATION=/Users/jirihermann/Documents/workspace-1-ideas/ai-agents/ai-learning/agent-learning-lab/build/customizations/phases-v1.0-skillcarrier-control VARIANT=carrier-control
seq	arm	run_id	exit	worktree	agent_hash	skill_hash	instr_hash	skill_stream	deleg_stream	claude
01	treated	3070d353-d1b0-479e-944c-294f4a655c93	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-3070d353-d1b0-479e-944c-294f4a655c93	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	null	1	0	2.1.266
01	control	3f30195f-a20d-4544-b962-d523890e35f6	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-3f30195f-a20d-4544-b962-d523890e35f6	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	null	null	0	0	2.1.266
02	treated	94e78b2f-d380-4797-9e78-afbcdd7d2117	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-94e78b2f-d380-4797-9e78-afbcdd7d2117	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	null	1	0	2.1.266
02	control	2e6699be-a248-4e33-9c6d-a8fd424d056e	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-2e6699be-a248-4e33-9c6d-a8fd424d056e	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	null	null	0	0	2.1.266
03	treated	cacfa9b3-b90d-4bd8-b523-94d361d346b4	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-cacfa9b3-b90d-4bd8-b523-94d361d346b4	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	null	1	0	2.1.266
03	control	9de99c1e-4456-4887-96c3-7fc7a949ebef	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-9de99c1e-4456-4887-96c3-7fc7a949ebef	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	null	null	0	0	2.1.266
04	treated	3cf0584b-3629-44ae-a82e-e774aa8743bc	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-3cf0584b-3629-44ae-a82e-e774aa8743bc	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	null	1	0	2.1.266
04	control	6a2f4c61-e8b8-4fda-9ce1-627ff7a3fea3	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-6a2f4c61-e8b8-4fda-9ce1-627ff7a3fea3	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	null	null	0	0	2.1.266
05	treated	a1af25c1-106d-41a1-9fb5-260a79b33531	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-a1af25c1-106d-41a1-9fb5-260a79b33531	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	null	1	0	2.1.266
05	control	622f9af7-16f7-4910-8041-b7c5b319c36e	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-622f9af7-16f7-4910-8041-b7c5b319c36e	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	null	null	0	0	2.1.266
06	treated	0b63d74a-8f42-4ccb-8402-bb6cc6b41c53	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-0b63d74a-8f42-4ccb-8402-bb6cc6b41c53	sha256:51ffaedf9a3edbfe5fd85009f70f84c5	sha256:61445ead85042e340435613314920ef8	null	1	0	2.1.266
