ts	load1	load5	load15	runs_done	top_cpu_proc	top_cpu
2026-09-10T18:39:55Z	10.97	11.90	13.37	0	java	257.8
2026-09-10T18:44:55Z	8.16	9.05	11.52	2	java	329.7
2026-09-10T18:49:55Z	7.21	7.59	10.03	5	memcore-server	189.7
2026-09-10T18:54:56Z	6.46	7.48	9.24	7	qemu-system-aarch64	47.1
2026-09-10T18:59:56Z	11.75	9.18	9.38	9	qemu-system-aarch64	66.4
2026-09-10T19:04:56Z	11.96	9.46	9.29	11	memtrace	160.4
2026-09-10T19:09:56Z	21.18	15.46	12.02	13	memcore-server	178.3
2026-09-10T19:14:56Z	10.37	12.39	11.60	15	memcore-server	236.6
2026-09-10T19:19:56Z	11.26	11.33	11.27	17	java	297.5
2026-09-10T19:24:56Z	6.23	9.77	10.74	20	memcore-server	281.2
2026-09-10T19:29:57Z	8.62	7.88	9.47	21	memcore-server	202.1
2026-09-10T19:34:57Z	7.25	7.33	8.73	23	memcore-server	194.5
2026-09-10T19:39:57Z	7.61	7.82	8.55	24	memcore-server	276.1
2026-09-10T19:44:57Z	8.74	8.59	8.63	25	java	273.6
2026-09-10T19:49:57Z	8.42	8.05	8.35	27	memcore-server	228.2
2026-09-10T19:54:57Z	6.99	8.20	8.46	28	qemu-system-aarch64	74.2
2026-09-10T19:59:57Z	11.48	9.33	8.81	29	memcore-server	240.2
2026-09-10T20:04:58Z	13.84	10.83	9.59	30	memcore-server	227.9
2026-09-10T20:09:58Z	10.57	12.75	11.06	31	java	315.2
2026-09-10T20:29:59Z	143.42	43.00	22.27	32	memcore-server	287.8
2026-09-10T21:04:57Z	11.03	33.23	25.50	33	memcore-server	192.0
load-watch: batch pid 72988 exited 2026-09-10T21:24:55Z
