# B7 REGISTERED BATCH 20260910T183731Z  n=10 per arm per task, interleaved (author decision 9)
# treated overlay f432abbcbf1f3b90ec4dd801a23c333a5f7e6c40fe0b54b11fd5689f9938cbca
# expected agentHash on BOTH arms: sha256:b3450564b6f32d6193e8580db766210e
# claude 2.1.267 at launch, model claude-haiku-4-5-20251001
# prediction commit ea7b1d2 at 2026-09-10T09:51:08Z, BEFORE any run here
task	seq	arm	run_id	make_rc	evaluator_exit	f13	edits	worktree	agent_hash	settings_tracked	policy_log	policy_lines	model_calls	init_tools
BE-003	01	treated	f82835ea-5860-4e74-9729-91f0e4118795	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-f82835ea-5860-4e74-9729-91f0e4118795	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	3	28	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	01	control	b86fdbd4-1ef8-44e4-9d15-8e1acfbc55d4	0	0	no	5	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b86fdbd4-1ef8-44e4-9d15-8e1acfbc55d4	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	20	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	02	treated	cb95c8c2-fe0b-45d7-9aac-c7a9404c0d66	0	0	no	4	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-cb95c8c2-fe0b-45d7-9aac-c7a9404c0d66	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	4	23	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	02	control	6c115acf-9053-4a01-8e9f-d696f2bc5300	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-6c115acf-9053-4a01-8e9f-d696f2bc5300	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	19	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	03	treated	66aede74-98cf-482f-be94-545c119aef3b	0	0	no	4	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-66aede74-98cf-482f-be94-545c119aef3b	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	4	20	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	03	control	65d570a9-6d59-4934-ba63-d1ffc669ecb6	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-65d570a9-6d59-4934-ba63-d1ffc669ecb6	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	17	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	04	treated	e2b5c62c-18d0-433b-8b03-155169c1a6a6	0	0	no	5	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-e2b5c62c-18d0-433b-8b03-155169c1a6a6	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	5	21	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	04	control	b3bdcc43-4f0d-464d-b6c8-b760640691f8	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b3bdcc43-4f0d-464d-b6c8-b760640691f8	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	19	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	05	treated	f953241b-6abd-44ca-bbf3-028164faeaf6	0	0	no	5	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-f953241b-6abd-44ca-bbf3-028164faeaf6	sha256:b3450564b6f32d6193e8580db766210e	yes	PRESENT	5	25	n=4 ["Read","Edit","Write","Bash"]/match
BE-003	05	control	cbc1deed-1015-4daa-b0d0-8107117ee1ed	0	0	no	3	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-cbc1deed-1015-4daa-b0d0-8107117ee1ed	sha256:b3450564b6f32d6193e8580db766210e	no	ABSENT	0	13	n=4 ["Read","Edit","Write","Bash"]/match
