# B8 REGISTERED BATCH 20260915T182436Z  n=10 per arm per task, interleaved (author decision 9)
# treated overlay a94237242e8c1308fb1d434a06a034630e46ec831a9ca5ad77257457c3d4993b (agent-v1.1), control none-no-CLAUDE.md (verify-v1.0)
# expected agentHash on BOTH arms: sha256:b3450564b6f32d6193e8580db766210e
# expected instructionsHash treated sha256:a94237242e8c1308fb1d434a06a03463 / control null
# claude 2.1.272 at launch, model claude-haiku-4-5-20251001
# API http://127.0.0.1:18081  OTLP http://localhost:14318 / http://localhost:14317
# prediction commit 5d7bfe0 at 2026-09-15T14:31:03Z, BEFORE any run here
task	seq	arm	run_id	rc	evaluator_exit	f13	edits	runtime_ver	model	agent_hash	instr_hash	state_file	state_valid	total_repairs	blocks	pre_allows	post_succ	model_calls	tool_calls	cost	duration_ms	changed	init_tools	worktree
BE-003	01	treated	6e5cac9b-5719-498d-8ff3-052944e393c3	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	6	5	19	17	0.106002	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-6e5cac9b-5719-498d-8ff3-052944e393c3
BE-003	01	control	16d8b401-300f-473f-8a61-51c4cdc847a4	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	22	20	0.118306	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-16d8b401-300f-473f-8a61-51c4cdc847a4
BE-003	02	treated	d71fbe39-a3bb-4551-b9ac-c4f465378f26	0	0	no	5	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	2	2	18	21	0.127163	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-d71fbe39-a3bb-4551-b9ac-c4f465378f26
BE-003	02	control	c6d938a9-a6ba-43e6-ab96-3a38065c5340	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	19	16	0.130163	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c6d938a9-a6ba-43e6-ab96-3a38065c5340
BE-003	03	treated	c1d3bebf-6cfc-4e93-9d93-6ed56768cfeb	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	5	5	20	18	0.124484	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c1d3bebf-6cfc-4e93-9d93-6ed56768cfeb
BE-003	03	control	0725377b-628e-4ec5-9ca7-a3b9566ec305	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	21	19	0.107935	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-0725377b-628e-4ec5-9ca7-a3b9566ec305
BE-003	04	treated	4c0e9a4f-e575-4c57-b25b-009486ca858c	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	8	8	22	20	0.139157	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-4c0e9a4f-e575-4c57-b25b-009486ca858c
BE-003	04	control	85bfad8e-fc8f-407b-b5f0-e26c74fe05da	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	22	19	0.135526	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-85bfad8e-fc8f-407b-b5f0-e26c74fe05da
BE-003	05	treated	82a71bc0-6ba9-4075-aa2b-2e3b597a3013	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	sha256:a94237242e8c1308fb1d434a06a03463	PRESENT	0	0	0	7	7	21	19	0.107614	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-82a71bc0-6ba9-4075-aa2b-2e3b597a3013
BE-003	05	control	66d8b906-3e7e-43a0-afbd-41c794dc4822	0	0	no	3	2.1.272 (Claude Code)	claude-haiku-4-5-20251001	sha256:b3450564b6f32d6193e8580db766210e	null	ABSENT	n/a	0	0	0	0	17	15	0.101403	null	null	n=4 ["Read","Edit","Write","Bash"]/match	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-66d8b906-3e7e-43a0-afbd-41c794dc4822
