run_id	duration_ms	changed_files	added_lines	deleted_lines	production_files	unrelated_files
00b6ccbb-0548-40d5-b8cf-dbc1340d8d13	295000	0	0	0	0	0
0725377b-628e-4ec5-9ca7-a3b9566ec305	108000	3	69	0	2	0
0ba1534b-e343-4f56-a725-835b2d1784f0	92000	3	66	0	2	0
16933e49-1298-4e05-a90f-6c1e924cdae1	103000	3	69	0	2	0
16d8b401-300f-473f-8a61-51c4cdc847a4	113000	3	71	0	2	0
1749df11-c947-4ffe-b391-8bc3e1b686d9	111000	3	76	0	2	0
19c31787-da83-4958-a833-19582d08ac5d	191000	7	278	4	5	0
1df030f7-b6e4-4220-8129-0f5c2268e1b8	123000	3	67	0	2	0
26d8e243-22a5-49ec-9e73-3364f91b9831	149000	3	89	6	2	0
29af5d60-0ee6-457f-92e3-f505c0c82729	208000	7	196	3	5	0
2ebaa773-64d2-4cac-853b-030ddf9320dd	9226000	0	0	0	0	0
382899ea-c9ff-4886-84be-de99a82a83ea	145000	3	80	5	2	0
386d55af-03d9-4141-a65d-3d3bdfda225e	108000	3	77	0	2	0
403352e6-30e2-420f-99b1-43a59fdb501c	109000	3	74	0	2	0
4b8702a7-234d-41b3-837f-e64c58e35a7b	151000	3	72	0	2	0
4c0e9a4f-e575-4c57-b25b-009486ca858c	233000	3	65	0	2	0
5bbd7910-a9cc-4091-806b-9690c324a57e	167000	6	190	2	4	0
66d8b906-3e7e-43a0-afbd-41c794dc4822	97000	3	90	0	2	0
67129732-429f-4d50-97be-630de430eb14	203000	7	288	4	5	0
6e5cac9b-5719-498d-8ff3-052944e393c3	106000	3	69	0	2	0
7451bd67-5a2b-447e-9e47-3e01e0e34971	201000	7	276	2	5	0
7792f10e-ceb3-4bcf-aca1-1d16727d1f9c	186000	7	178	2	5	0
7e97452d-1357-447c-abc0-17d66ab0a24d	186000	6	204	1	5	0
80b21210-ec80-4a8b-ba25-7dbd74bd4700	4795000	0	0	0	0	0
82a71bc0-6ba9-4075-aa2b-2e3b597a3013	92000	3	80	0	2	0
85bfad8e-fc8f-407b-b5f0-e26c74fe05da	134000	3	76	0	2	0
94a6b3a6-ce99-43cb-92de-339915aa7583	189000	7	202	2	5	0
aa143b15-b6ad-4fd1-b1c6-4ae3b89fb9d0	226000	7	278	4	5	0
af75aeeb-604e-4b9a-9937-befd4a314f52	166000	7	271	4	5	0
b33a8233-3bb0-4faa-acd9-d5bd9a250e89	155000	6	202	4	4	0
b356238d-6bfd-46cf-8a19-29bd49117b32	132000	7	222	2	5	0
b90c76d7-12df-4dcb-beb6-630dd8cef809	15090000	7	190	2	5	0
c1d3bebf-6cfc-4e93-9d93-6ed56768cfeb	123000	3	80	6	2	0
c6d938a9-a6ba-43e6-ab96-3a38065c5340	139000	3	69	0	2	0
c85438f4-f461-46dd-80c1-c35b549c6ae2	104000	3	77	0	2	0
c897f0cb-5735-4ad4-aea5-d6723dba390f	176000	7	185	2	5	0
cbfd8d07-f960-4a69-879d-71df540fcde7	187000	7	180	4	5	0
d71fbe39-a3bb-4551-b9ac-c4f465378f26	116000	3	72	0	2	0
e352ec58-eba0-4bf1-a2ce-7b370cf4258a	144000	7	204	4	5	0
e8bb7e73-b596-4127-a5ae-945a1bfbc66d	135000	7	182	2	5	0
eabece09-63c3-40f7-86fa-e324efe77b2e	99000	3	90	0	2	0
eb2fe52a-6374-4a83-84c8-98079b8a9f4f	195000	6	189	1	5	0
ebf9e05e-0405-4a4c-ba2b-cd5691ebea71	217000	7	225	4	5	0
fc14873a-9f19-4ed9-9747-91656968f530	106000	3	95	6	2	0
