task	arm	run_id	architecture-consistency	maintainability	test-quality	change-focus	sheet
BE-003	treated	6e5cac9b-5719-498d-8ff3-052944e393c3	2	0	1	1	findings/codex/score-observatory-run-6e5cac9b-5719-498d-8ff3-052944e393c3-20260916T120919Z.yaml
BE-003	control	16d8b401-300f-473f-8a61-51c4cdc847a4	2	2	1	1	findings/codex/score-observatory-run-16d8b401-300f-473f-8a61-51c4cdc847a4-20260916T121006Z.yaml
BE-003	treated	d71fbe39-a3bb-4551-b9ac-c4f465378f26	2	0	1	1	findings/codex/score-observatory-run-d71fbe39-a3bb-4551-b9ac-c4f465378f26-20260916T121541Z.yaml
BE-003	control	c6d938a9-a6ba-43e6-ab96-3a38065c5340	2	0	1	1	findings/codex/score-observatory-run-c6d938a9-a6ba-43e6-ab96-3a38065c5340-20260916T121625Z.yaml
BE-003	treated	c1d3bebf-6cfc-4e93-9d93-6ed56768cfeb	2	2	1	1	findings/codex/score-observatory-run-c1d3bebf-6cfc-4e93-9d93-6ed56768cfeb-20260916T121645Z.yaml
BE-003	control	0725377b-628e-4ec5-9ca7-a3b9566ec305	2	0	1	1	findings/codex/score-observatory-run-0725377b-628e-4ec5-9ca7-a3b9566ec305-20260916T121711Z.yaml
BE-003	treated	4c0e9a4f-e575-4c57-b25b-009486ca858c	2	2	1	1	findings/codex/score-observatory-run-4c0e9a4f-e575-4c57-b25b-009486ca858c-20260916T121725Z.yaml
BE-003	control	85bfad8e-fc8f-407b-b5f0-e26c74fe05da	2	2	1	1	findings/codex/score-observatory-run-85bfad8e-fc8f-407b-b5f0-e26c74fe05da-20260916T121747Z.yaml
BE-003	treated	82a71bc0-6ba9-4075-aa2b-2e3b597a3013	2	2	1	1	findings/codex/score-observatory-run-82a71bc0-6ba9-4075-aa2b-2e3b597a3013-20260916T121828Z.yaml
BE-003	control	66d8b906-3e7e-43a0-afbd-41c794dc4822	2	0	2	1	findings/codex/score-observatory-run-66d8b906-3e7e-43a0-afbd-41c794dc4822-20260916T121847Z.yaml
BE-003	treated	eabece09-63c3-40f7-86fa-e324efe77b2e	2	0	1	1	findings/codex/score-observatory-run-eabece09-63c3-40f7-86fa-e324efe77b2e-20260916T121919Z.yaml
BE-003	control	fc14873a-9f19-4ed9-9747-91656968f530	2	0	1	1	findings/codex/score-observatory-run-fc14873a-9f19-4ed9-9747-91656968f530-20260916T121936Z.yaml
BE-003	treated	382899ea-c9ff-4886-84be-de99a82a83ea	2	0	2	1	findings/codex/score-observatory-run-382899ea-c9ff-4886-84be-de99a82a83ea-20260916T122025Z.yaml
BE-003	control	386d55af-03d9-4141-a65d-3d3bdfda225e	2	0	1	1	findings/codex/score-observatory-run-386d55af-03d9-4141-a65d-3d3bdfda225e-20260916T122047Z.yaml
BE-003	treated	c85438f4-f461-46dd-80c1-c35b549c6ae2	2	0	1	1	findings/codex/score-observatory-run-c85438f4-f461-46dd-80c1-c35b549c6ae2-20260916T122112Z.yaml
BE-003	control	1749df11-c947-4ffe-b391-8bc3e1b686d9	2	2	1	1	findings/codex/score-observatory-run-1749df11-c947-4ffe-b391-8bc3e1b686d9-20260916T122135Z.yaml
BE-003	treated	16933e49-1298-4e05-a90f-6c1e924cdae1	2	0	1	1	findings/codex/score-observatory-run-16933e49-1298-4e05-a90f-6c1e924cdae1-20260916T122202Z.yaml
BE-003	control	403352e6-30e2-420f-99b1-43a59fdb501c	2	0	1	1	findings/codex/score-observatory-run-403352e6-30e2-420f-99b1-43a59fdb501c-20260916T122228Z.yaml
BE-003	treated	26d8e243-22a5-49ec-9e73-3364f91b9831	2	0	1	1	findings/codex/score-observatory-run-26d8e243-22a5-49ec-9e73-3364f91b9831-20260916T122250Z.yaml
BE-003	control	4b8702a7-234d-41b3-837f-e64c58e35a7b	1	0	1	1	findings/codex/score-observatory-run-4b8702a7-234d-41b3-837f-e64c58e35a7b-20260916T122310Z.yaml
BE-004	treated	29af5d60-0ee6-457f-92e3-f505c0c82729	2	0	1	1	findings/codex/score-observatory-run-29af5d60-0ee6-457f-92e3-f505c0c82729-20260916T122358Z.yaml
BE-004	control	19c31787-da83-4958-a833-19582d08ac5d	2	0	2	1	findings/codex/score-observatory-run-19c31787-da83-4958-a833-19582d08ac5d-20260916T122510Z.yaml
