# check-run-gate.sh, §4 step 7, 2026-09-25, on each run's own evaluation.json in its kept worktree copy (API-independent)
# exit 0 = gate passed, scoring permitted · 2 = the evaluator says it failed
seq	arm	run_id	gate_exit
01	control	4ec4cb7a-d266-4ba7-901c-27b97e52bfb3	0
01	treated	be4a6a94-eb20-4da6-8c8d-99f3dad3a3ac	0
02	control	747935c4-cbae-4a6a-8660-d8cf2296cf91	0
02	treated	c07b8f25-1fba-4274-aa33-375c8aa82a06	0
03	control	421067b2-3190-4a63-a252-d189aeccfed6	2
03	treated	f16197c4-8a0f-49ed-9790-7b80a3a04870	0
04	control	4319e882-43a4-4dbd-9fe8-1424d30c13c5	2
04	treated	53af3571-f75b-4a2e-9a7c-57f8214b0da5	0
05	control	46064f65-7775-4a78-b9f7-befa46ea1d20	2
05	treated	da7c45c9-b121-4aed-8b9e-41df157ea4c1	0
06	control	4abf7f01-cd54-4c77-962c-8bd4f8752466	2
06	treated	e3ca68c8-9af7-4f7b-a623-9b526bc1d99e	0
07	control	ed58787c-6529-42ce-a677-065d86945bc2	2
07	treated	b755f13f-34fb-405c-8667-ba8affab13a6	2
08	control	33b4c452-fc93-4c16-86af-a230ea26f25e	0
08	treated	275d4cac-f43b-479d-bd46-ebb136e18e57	0
