# B8a REGISTERED BATCH 20260925T091510Z  n=10 per arm, ONE task BE-005, interleaved
# treated overlay /Users/jirihermann/Documents/workspace-1-ideas/ai-agents/ai-learning/agent-learning-lab/build/customizations/b8a-pipeline-v1.0 dispatched --agent orchestrator; CONTROL INSTALLS NOTHING
# agentHash covers ONE file of FOUR; conditions (a),(c),(d) carry the other three
# expected agentHash treated sha256:1f27323694e579ec11dbca026bfbb326 / control null
# cost ceiling $9.70 enforced by this script (exit 11); row 0a x2 ends the step (exit 10)
# claude 2.1.282 at launch, model claude-haiku-4-5-20251001
# API http://127.0.0.1:8081  OTLP http://localhost:4318 / http://localhost:4317  events.jsonl 18381324 bytes at launch
# prediction commit a3acac7 at 2026-09-25T07:04:59Z, BEFORE any run here
seq	arm	run_id	rc	evaluator_exit	runtime_ver	model	agent_hash	instr_hash	skills_hash	cond_a	cond_b	cond_c	cond_d	row0a	deleg_stream	deleg_q8	deleg_telemetry	model_calls	tool_calls	cost	duration_ms	changed	init_tools	worktree
01	control	4ec4cb7a-d266-4ba7-901c-27b97e52bfb3	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	null	null	null	ok-null-triple	na	na	na	no	0	finding-0	0	53	50	0.504154	283000	13	n=28 ["Task","Bash","CronCreate","CronDelete","CronList","DesignSync","Edit","EnterWorktree","ExitWorktree","ListAgents","Monitor","NotebookEdit","PushNotification","Read","RemoteTrigger","ReportFindings","ScheduleWakeup","SendMessage","TaskCreate","TaskGet","TaskList","TaskStop","TaskUpdate","ToolSearch","WebFetch","WebSearch","Workflow","Write"]/recorded-only	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-4ec4cb7a-d266-4ba7-901c-27b97e52bfb3
01	treated	be4a6a94-eb20-4da6-8c8d-99f3dad3a3ac	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	sha256:1f27323694e579ec11dbca026bfbb326	null	null	ok	ok	ok	ok-stream-3of3	no	3	q8-ok-3	3	61	64	0.567815	526000	13	n=4 ["Read","Task","Grep","Glob"]/order-differs	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-be4a6a94-eb20-4da6-8c8d-99f3dad3a3ac
02	control	747935c4-cbae-4a6a-8660-d8cf2296cf91	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	null	null	null	ok-null-triple	na	na	na	no	0	finding-0	0	34	42	0.372149	241000	11	n=28 ["Task","Bash","CronCreate","CronDelete","CronList","DesignSync","Edit","EnterWorktree","ExitWorktree","ListAgents","Monitor","NotebookEdit","PushNotification","Read","RemoteTrigger","ReportFindings","ScheduleWakeup","SendMessage","TaskCreate","TaskGet","TaskList","TaskStop","TaskUpdate","ToolSearch","WebFetch","WebSearch","Workflow","Write"]/recorded-only	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-747935c4-cbae-4a6a-8660-d8cf2296cf91
02	treated	c07b8f25-1fba-4274-aa33-375c8aa82a06	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	sha256:1f27323694e579ec11dbca026bfbb326	null	null	ok	ok	ok	ok-stream-3of3	no	3	q8-ok-3	3	73	79	0.750348	488000	13	n=4 ["Read","Task","Grep","Glob"]/order-differs	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c07b8f25-1fba-4274-aa33-375c8aa82a06
03	control	421067b2-3190-4a63-a252-d189aeccfed6	12	12	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	null	null	null	ok-null-triple	na	na	na	no	0	finding-0	0	48	45	0.431656	198000	14	n=28 ["Task","Bash","CronCreate","CronDelete","CronList","DesignSync","Edit","EnterWorktree","ExitWorktree","ListAgents","Monitor","NotebookEdit","PushNotification","Read","RemoteTrigger","ReportFindings","ScheduleWakeup","SendMessage","TaskCreate","TaskGet","TaskList","TaskStop","TaskUpdate","ToolSearch","WebFetch","WebSearch","Workflow","Write"]/recorded-only	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-421067b2-3190-4a63-a252-d189aeccfed6
03	treated	f16197c4-8a0f-49ed-9790-7b80a3a04870	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	sha256:1f27323694e579ec11dbca026bfbb326	null	null	ok	ok	ok	ok-stream-3of3	no	12	finding-12	15	222	207	1.62291	675000	11	n=4 ["Read","Task","Grep","Glob"]/order-differs	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-f16197c4-8a0f-49ed-9790-7b80a3a04870
04	control	4319e882-43a4-4dbd-9fe8-1424d30c13c5	12	12	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	null	null	null	ok-null-triple	na	na	na	no	0	finding-0	0	43	42	0.409701	211000	12	n=28 ["Task","Bash","CronCreate","CronDelete","CronList","DesignSync","Edit","EnterWorktree","ExitWorktree","ListAgents","Monitor","NotebookEdit","PushNotification","Read","RemoteTrigger","ReportFindings","ScheduleWakeup","SendMessage","TaskCreate","TaskGet","TaskList","TaskStop","TaskUpdate","ToolSearch","WebFetch","WebSearch","Workflow","Write"]/recorded-only	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-4319e882-43a4-4dbd-9fe8-1424d30c13c5
04	treated	53af3571-f75b-4a2e-9a7c-57f8214b0da5	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	sha256:1f27323694e579ec11dbca026bfbb326	null	null	ok	ok	ok	ok-stream-3of3	no	3	q8-ok-3	3	83	75	0.662894	502000	13	n=4 ["Read","Task","Grep","Glob"]/order-differs	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-53af3571-f75b-4a2e-9a7c-57f8214b0da5
05	control	46064f65-7775-4a78-b9f7-befa46ea1d20	12	12	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	null	null	null	ok-null-triple	na	na	na	no	0	finding-0	0	23	31	0.278762	201000	12	n=28 ["Task","Bash","CronCreate","CronDelete","CronList","DesignSync","Edit","EnterWorktree","ExitWorktree","ListAgents","Monitor","NotebookEdit","PushNotification","Read","RemoteTrigger","ReportFindings","ScheduleWakeup","SendMessage","TaskCreate","TaskGet","TaskList","TaskStop","TaskUpdate","ToolSearch","WebFetch","WebSearch","Workflow","Write"]/recorded-only	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-46064f65-7775-4a78-b9f7-befa46ea1d20
05	treated	da7c45c9-b121-4aed-8b9e-41df157ea4c1	0	0	2.1.282 (Claude Code)	claude-haiku-4-5-20251001	sha256:1f27323694e579ec11dbca026bfbb326	null	null	ok	ok	ok	ok-stream-3of3	no	3	q8-ok-3	3	82	74	0.660814	587000	11	n=4 ["Read","Task","Grep","Glob"]/order-differs	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-da7c45c9-b121-4aed-8b9e-41df157ea4c1
