arm,run,agent_exit,tracked_changed,any_change,write_calls,bash_calls,read_calls,refused_tool_results,started_at,finished_at,transcript
control,1,0,1,1,1,1,3,0,2026-09-04T16:55:55Z,2026-09-04T16:56:11Z,batch-transcripts/control-01.jsonl
control,2,0,1,1,1,6,3,0,2026-09-04T16:56:11Z,2026-09-04T16:56:32Z,batch-transcripts/control-02.jsonl
control,3,0,1,1,1,1,3,0,2026-09-04T16:56:32Z,2026-09-04T16:56:47Z,batch-transcripts/control-03.jsonl
control,4,0,1,1,1,1,2,0,2026-09-04T16:56:48Z,2026-09-04T16:57:01Z,batch-transcripts/control-04.jsonl
control,5,0,1,1,1,1,2,0,2026-09-04T16:57:01Z,2026-09-04T16:57:14Z,batch-transcripts/control-05.jsonl
control,6,0,1,1,1,3,3,0,2026-09-04T16:57:14Z,2026-09-04T16:57:35Z,batch-transcripts/control-06.jsonl
control,8,0,1,1,1,2,3,0,2026-09-04T17:00:31Z,2026-09-04T17:00:48Z,batch-transcripts/control-08.jsonl
control,9,0,1,1,1,2,2,0,2026-09-04T17:00:48Z,2026-09-04T17:01:01Z,batch-transcripts/control-09.jsonl
control,10,0,1,1,1,4,1,0,2026-09-04T17:01:01Z,2026-09-04T17:01:24Z,batch-transcripts/control-10.jsonl
control,11,0,1,1,1,5,2,0,2026-09-04T17:01:24Z,2026-09-04T17:01:44Z,batch-transcripts/control-11.jsonl
toollist,1,0,0,0,0,0,5,0,2026-09-04T17:01:44Z,2026-09-04T17:02:28Z,batch-transcripts/toollist-01.jsonl
toollist,2,0,0,0,0,0,4,0,2026-09-04T17:02:28Z,2026-09-04T17:03:50Z,batch-transcripts/toollist-02.jsonl
toollist,3,0,0,0,0,0,4,0,2026-09-04T17:03:50Z,2026-09-04T17:04:04Z,batch-transcripts/toollist-03.jsonl
toollist,4,0,0,0,0,0,4,0,2026-09-04T17:04:05Z,2026-09-04T17:04:44Z,batch-transcripts/toollist-04.jsonl
toollist,5,0,0,0,2,0,4,2,2026-09-04T17:04:44Z,2026-09-04T17:21:52Z,batch-transcripts/toollist-05.jsonl
toollist,6,0,0,0,0,0,4,0,2026-09-04T17:21:53Z,2026-09-04T17:22:09Z,batch-transcripts/toollist-06.jsonl
toollist,7,0,0,0,0,0,3,0,2026-09-04T17:22:09Z,2026-09-04T17:29:33Z,batch-transcripts/toollist-07.jsonl
toollist,8,0,0,0,0,0,5,0,2026-09-04T17:29:33Z,2026-09-04T17:30:04Z,batch-transcripts/toollist-08.jsonl
toollist,9,0,0,0,0,0,5,0,2026-09-04T17:30:05Z,2026-09-04T17:30:42Z,batch-transcripts/toollist-09.jsonl
toollist,10,0,0,0,0,0,5,0,2026-09-04T17:30:42Z,2026-09-04T17:31:49Z,batch-transcripts/toollist-10.jsonl
description,1,0,0,0,0,2,2,0,2026-09-04T17:31:49Z,2026-09-04T17:32:08Z,batch-transcripts/description-01.jsonl
description,2,0,0,0,0,2,3,0,2026-09-04T17:32:08Z,2026-09-04T17:32:25Z,batch-transcripts/description-02.jsonl
description,3,0,0,0,0,1,2,0,2026-09-04T17:32:26Z,2026-09-04T17:32:40Z,batch-transcripts/description-03.jsonl
description,4,0,0,0,0,1,2,0,2026-09-04T17:32:40Z,2026-09-04T17:32:53Z,batch-transcripts/description-04.jsonl
description,5,0,0,0,0,2,3,0,2026-09-04T17:32:53Z,2026-09-04T17:33:12Z,batch-transcripts/description-05.jsonl
description,6,0,0,0,0,2,2,0,2026-09-04T17:33:13Z,2026-09-04T17:33:29Z,batch-transcripts/description-06.jsonl
description,7,0,0,0,0,2,2,0,2026-09-04T17:33:29Z,2026-09-04T17:33:45Z,batch-transcripts/description-07.jsonl
description,8,0,0,0,0,1,2,0,2026-09-04T17:33:45Z,2026-09-04T17:34:00Z,batch-transcripts/description-08.jsonl
description,9,0,0,0,0,1,2,0,2026-09-04T17:34:01Z,2026-09-04T17:34:16Z,batch-transcripts/description-09.jsonl
description,10,0,0,0,0,1,2,0,2026-09-04T17:34:16Z,2026-09-04T17:34:31Z,batch-transcripts/description-10.jsonl
