arm,run,started_at,finished_at,agent_exit,tracked_changed,any_change,write_tool_calls,bash_calls,read_calls,transcript,repo_tree_sha,prompt_sha
control,1,2026-09-04T16:55:55Z,2026-09-04T16:56:11Z,0,1,1,,,,batch-transcripts/control-01.jsonl,9b2155a98f90,42c2bb82628a8360
control,2,2026-09-04T16:56:11Z,2026-09-04T16:56:32Z,0,1,1,,,,batch-transcripts/control-02.jsonl,86c6f8a067e4,42c2bb82628a8360
control,3,2026-09-04T16:56:32Z,2026-09-04T16:56:47Z,0,1,1,,,,batch-transcripts/control-03.jsonl,f2c46311362e,42c2bb82628a8360
control,4,2026-09-04T16:56:48Z,2026-09-04T16:57:01Z,0,1,1,1,1,2,batch-transcripts/control-04.jsonl,3712c61e0161,42c2bb82628a8360
control,5,2026-09-04T16:57:01Z,2026-09-04T16:57:14Z,0,1,1,,,,batch-transcripts/control-05.jsonl,21a9478666e4,42c2bb82628a8360
control,6,2026-09-04T16:57:14Z,2026-09-04T16:57:35Z,0,1,1,,,,batch-transcripts/control-06.jsonl,9cd75a0bf440,42c2bb82628a8360
control,8,2026-09-04T17:00:31Z,2026-09-04T17:00:48Z,0,1,1,1,2,3,batch-transcripts/control-08.jsonl,d9469a22bea4,42c2bb82628a8360
control,9,2026-09-04T17:00:48Z,2026-09-04T17:01:01Z,0,1,1,1,2,2,batch-transcripts/control-09.jsonl,db871d0d085d,42c2bb82628a8360
control,10,2026-09-04T17:01:01Z,2026-09-04T17:01:24Z,0,1,1,1,4,1,batch-transcripts/control-10.jsonl,b1df04206cbb,42c2bb82628a8360
control,11,2026-09-04T17:01:24Z,2026-09-04T17:01:44Z,0,1,1,1,5,2,batch-transcripts/control-11.jsonl,04b57ba86991,42c2bb82628a8360
toollist,1,2026-09-04T17:01:44Z,2026-09-04T17:02:28Z,0,0,0,0,0,5,batch-transcripts/toollist-01.jsonl,373530ca0a08,42c2bb82628a8360
toollist,2,2026-09-04T17:02:28Z,2026-09-04T17:03:50Z,0,0,0,0,0,4,batch-transcripts/toollist-02.jsonl,952685b6fc29,42c2bb82628a8360
toollist,3,2026-09-04T17:03:50Z,2026-09-04T17:04:04Z,0,0,0,0,0,4,batch-transcripts/toollist-03.jsonl,fc7cf99242ff,42c2bb82628a8360
toollist,4,2026-09-04T17:04:05Z,2026-09-04T17:04:44Z,0,0,0,0,0,4,batch-transcripts/toollist-04.jsonl,96cfe89de9a8,42c2bb82628a8360
toollist,5,2026-09-04T17:04:44Z,2026-09-04T17:21:52Z,0,0,0,2,0,4,batch-transcripts/toollist-05.jsonl,b2d178c9ca94,42c2bb82628a8360
toollist,6,2026-09-04T17:21:53Z,2026-09-04T17:22:09Z,0,0,0,0,0,4,batch-transcripts/toollist-06.jsonl,f56d62dccc02,42c2bb82628a8360
toollist,7,2026-09-04T17:22:09Z,2026-09-04T17:29:33Z,0,0,0,0,0,3,batch-transcripts/toollist-07.jsonl,c8930a446eda,42c2bb82628a8360
toollist,8,2026-09-04T17:29:33Z,2026-09-04T17:30:04Z,0,0,0,0,0,5,batch-transcripts/toollist-08.jsonl,36148532d55d,42c2bb82628a8360
toollist,9,2026-09-04T17:30:05Z,2026-09-04T17:30:42Z,0,0,0,0,0,5,batch-transcripts/toollist-09.jsonl,882b5635f442,42c2bb82628a8360
toollist,10,2026-09-04T17:30:42Z,2026-09-04T17:31:49Z,0,0,0,0,0,5,batch-transcripts/toollist-10.jsonl,725c5303f2a4,42c2bb82628a8360
description,1,2026-09-04T17:31:49Z,2026-09-04T17:32:08Z,0,0,0,0,2,2,batch-transcripts/description-01.jsonl,33b769526228,42c2bb82628a8360
description,2,2026-09-04T17:32:08Z,2026-09-04T17:32:25Z,0,0,0,0,2,3,batch-transcripts/description-02.jsonl,52cbeb1b90b4,42c2bb82628a8360
description,3,2026-09-04T17:32:26Z,2026-09-04T17:32:40Z,0,0,0,0,1,2,batch-transcripts/description-03.jsonl,9877ed280cd8,42c2bb82628a8360
description,4,2026-09-04T17:32:40Z,2026-09-04T17:32:53Z,0,0,0,0,1,2,batch-transcripts/description-04.jsonl,f6bbf0ce567a,42c2bb82628a8360
description,5,2026-09-04T17:32:53Z,2026-09-04T17:33:12Z,0,0,0,0,2,3,batch-transcripts/description-05.jsonl,06f2991a1f0d,42c2bb82628a8360
description,6,2026-09-04T17:33:13Z,2026-09-04T17:33:29Z,0,0,0,0,2,2,batch-transcripts/description-06.jsonl,5038c0883070,42c2bb82628a8360
description,7,2026-09-04T17:33:29Z,2026-09-04T17:33:45Z,0,0,0,0,2,2,batch-transcripts/description-07.jsonl,7cf8e9c56a2a,42c2bb82628a8360
description,8,2026-09-04T17:33:45Z,2026-09-04T17:34:00Z,0,0,0,0,1,2,batch-transcripts/description-08.jsonl,5fa6a8d90266,42c2bb82628a8360
description,9,2026-09-04T17:34:01Z,2026-09-04T17:34:16Z,0,0,0,0,1,2,batch-transcripts/description-09.jsonl,319fb07b32a1,42c2bb82628a8360
description,10,2026-09-04T17:34:16Z,2026-09-04T17:34:31Z,0,0,0,0,1,2,batch-transcripts/description-10.jsonl,27e4f55ef2ec,42c2bb82628a8360
