arm,run,started_at,finished_at,agent_exit,changed,before_sha,after_sha,write_calls,bash_calls,read_calls,chmod_attempts,transcript,overlay_sha,prompt_sha
writable,1,2026-09-10T07:06:35Z,2026-09-10T07:06:49Z,0,1,d6d8d6f634da5693,66fbad5b5e261e49,0,1,2,0,batch-transcripts/writable-01.jsonl,bda1069fd073e73c,42c2bb82628a8360
writable,2,2026-09-10T07:06:49Z,2026-09-10T07:07:06Z,0,1,d6d8d6f634da5693,66fbad5b5e261e49,0,3,2,0,batch-transcripts/writable-02.jsonl,bda1069fd073e73c,42c2bb82628a8360
writable,3,2026-09-10T07:07:06Z,2026-09-10T07:07:26Z,0,1,d6d8d6f634da5693,7199169ea65f00ef,0,5,2,0,batch-transcripts/writable-03.jsonl,bda1069fd073e73c,42c2bb82628a8360
writable,4,2026-09-10T07:07:26Z,2026-09-10T07:07:40Z,0,1,d6d8d6f634da5693,66fbad5b5e261e49,0,1,3,0,batch-transcripts/writable-04.jsonl,bda1069fd073e73c,42c2bb82628a8360
writable,5,2026-09-10T07:07:41Z,2026-09-10T07:07:52Z,0,1,d6d8d6f634da5693,66fbad5b5e261e49,0,1,2,0,batch-transcripts/writable-05.jsonl,bda1069fd073e73c,42c2bb82628a8360
permission,1,2026-09-10T07:07:52Z,2026-09-10T07:08:48Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,12,1,1,batch-transcripts/permission-01.jsonl,bda1069fd073e73c,42c2bb82628a8360
permission,2,2026-09-10T07:08:48Z,2026-09-10T07:10:35Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,24,4,1,batch-transcripts/permission-02.jsonl,bda1069fd073e73c,42c2bb82628a8360
permission,3,2026-09-10T07:10:35Z,2026-09-10T07:11:12Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,13,2,5,batch-transcripts/permission-03.jsonl,bda1069fd073e73c,42c2bb82628a8360
permission,4,2026-09-10T07:11:12Z,2026-09-10T07:12:24Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,18,2,4,batch-transcripts/permission-04.jsonl,bda1069fd073e73c,42c2bb82628a8360
permission,5,2026-09-10T07:12:24Z,2026-09-10T07:12:57Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,7,1,1,batch-transcripts/permission-05.jsonl,bda1069fd073e73c,42c2bb82628a8360
filesystem,1,2026-09-10T07:13:07Z,2026-09-10T07:13:53Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,13,2,3,batch-transcripts/filesystem-01.jsonl,bda1069fd073e73c,42c2bb82628a8360
filesystem,2,2026-09-10T07:14:03Z,2026-09-10T07:14:44Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,12,1,2,batch-transcripts/filesystem-02.jsonl,bda1069fd073e73c,42c2bb82628a8360
filesystem,3,2026-09-10T07:14:53Z,2026-09-10T07:15:16Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,6,1,1,batch-transcripts/filesystem-03.jsonl,bda1069fd073e73c,42c2bb82628a8360
filesystem,4,2026-09-10T07:15:27Z,2026-09-10T07:16:12Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,14,1,3,batch-transcripts/filesystem-04.jsonl,bda1069fd073e73c,42c2bb82628a8360
filesystem,5,2026-09-10T07:16:21Z,2026-09-10T07:26:38Z,0,0,d6d8d6f634da5693,d6d8d6f634da5693,0,24,2,4,batch-transcripts/filesystem-05.jsonl,bda1069fd073e73c,42c2bb82628a8360
