idx	arm	variant	started	run_id	exit	worktree
1	control	plain	2026-09-11T19:53:03Z	f50cc968-4a73-49cd-9fc8-aa09332b10e9	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-f50cc968-4a73-49cd-9fc8-aa09332b10e9
2	D	blocked-deny-5b5	2026-09-11T19:54:41Z	b2453820-5e8c-46c1-bfc5-893c51999d1c	21	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-b2453820-5e8c-46c1-bfc5-893c51999d1c
3	control	plain	2026-09-11T20:02:40Z	c3be0061-0051-4a61-a5d6-f01648e47f2d	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-c3be0061-0051-4a61-a5d6-f01648e47f2d
4	H	blocked-hook-5b5	2026-09-11T20:04:23Z	d3f7b3d4-0638-4ad0-9dca-91f6dd228c8f	12	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-d3f7b3d4-0638-4ad0-9dca-91f6dd228c8f
5	control	plain	2026-09-11T20:05:28Z	5ece8350-e4f0-4472-8cd9-b6729ecdf59b	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-5ece8350-e4f0-4472-8cd9-b6729ecdf59b
6	D	blocked-deny-5b5	2026-09-11T20:07:02Z	1a8cbbfb-17f7-4379-9a7e-1468fe93997a	12	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-1a8cbbfb-17f7-4379-9a7e-1468fe93997a
7	control	plain	2026-09-11T20:15:53Z	8da2bea8-f449-48c2-9ba2-252bd00b8ce9	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-8da2bea8-f449-48c2-9ba2-252bd00b8ce9
8	H	blocked-hook-5b5	2026-09-11T20:17:37Z	47332479-e7f2-4dad-8735-ed1fcc358829	12	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-47332479-e7f2-4dad-8735-ed1fcc358829
9	control	plain	2026-09-11T20:19:30Z	cb07a4d7-f772-43f8-9123-9707f00303a6	0	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-cb07a4d7-f772-43f8-9123-9707f00303a6
10	D	blocked-deny-5b5	2026-09-11T20:21:44Z	cd563cee-8656-45be-b00b-25baabcba43c	10	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-cd563cee-8656-45be-b00b-25baabcba43c
11	control	plain	2026-09-11T21:07:02Z	NONE	1	/var/folders/jr/lwzz65cx5pndqqdgzhnym1pc0000gn/T//observatory-run-47a1279c-4002-4613-bdba-857e2e54dd50
12	H	blocked-hook-5b5	2026-09-11T22:17:50Z	NONE	1	NONE
13	control	plain	2026-09-11T22:17:54Z	NONE	1	NONE
14	D	blocked-deny-5b5	2026-09-11T22:17:57Z	NONE	1	NONE
15	control	plain	2026-09-11T22:17:59Z	NONE	1	NONE
16	H	blocked-hook-5b5	2026-09-11T22:17:59Z	NONE	1	NONE
17	control	plain	2026-09-11T22:18:00Z	NONE	1	NONE
18	D	blocked-deny-5b5	2026-09-11T22:18:00Z	NONE	1	NONE
19	control	plain	2026-09-11T22:18:00Z	NONE	1	NONE
20	H	blocked-hook-5b5	2026-09-11T22:18:00Z	NONE	1	NONE
