population	runId	changed	exit	reason
covariate-preflight	eda125e2	19	0	not a permission block: 4 denial(s) but 19 changed file(s) — the run p
covariate-preflight	c5ce5d78	0	2	permission block: 1 denial(s) and 0 changed files (toolCalls 10)
P5-stored-denial	c0b6721e	3	0	not a permission block: 1 denial(s) but 3 changed file(s) — the run pr
P5-stored-denial	2744a92c	3	0	not a permission block: 1 denial(s) but 3 changed file(s) — the run pr
P5-stored-denial	fb894d7d	3	0	not a permission block: 2 denial(s) but 3 changed file(s) — the run pr
P5-stored-denial	beae5092	3	0	not a permission block: 1 denial(s) but 3 changed file(s) — the run pr
P5-stored-denial	1f806f3d	3	0	not a permission block: 1 denial(s) but 3 changed file(s) — the run pr
P5-stored-denial	4d7c537d	3	0	not a permission block: 1 denial(s) but 3 changed file(s) — the run pr
P6-F05-sonnet	4d0246d7	1	0	not a permission block: 0 denials and 1 changed file(s)
P6-F05-sonnet	ca952174	1	0	not a permission block: 0 denials and 1 changed file(s)
P6-F05-sonnet	344274bf	1	0	not a permission block: 0 denials and 1 changed file(s)
P6-F05-sonnet	6b19bafb	1	0	not a permission block: 0 denials and 1 changed file(s)
P6-F05-sonnet	1a0b375e	1	0	not a permission block: 0 denials and 1 changed file(s)
P6-F05-sonnet	b32a4396	1	0	not a permission block: 0 denials and 1 changed file(s)
P6-F05-sonnet	5b576f59	1	0	not a permission block: 0 denials and 1 changed file(s)
